Hello, World!
85, 0
27, 1
89, 2
77, 2
85, 2
27, 2
23, 2
12, 2
82, 2
98, 2
87, 2
69, 2
26, 2
22, 2
44, 2
67, 2
62, 2
45, 2
63, 2
91, 2
57, 2
17, 2
56, 2
79, 2
15, 2
16, 2
92, 2
83, 2
32, 2
65, 2
36, 2
52, 2
86, 2
49, 2
75, 2
47, 2
97, 2
54, 2
29, 2
37, 2
73, 2
81, 2
28, 2
95, 2
55, 2
51, 2
14, 2
76, 2
25, 2
46, 2
72, 2
46, 2
72, 2
46, 2
72, 2
72, 2
25, 2
46, 2
25, 2
51, 2
72, 2
46, 2
55, 2
76, 2
25, 2
76, 2
95, 2
14, 2
28, 2
14, 2
46, 2
72, 2
51, 2
25, 2
95, 2
55, 2
95, 2
76, 2
28, 2
81, 2
14, 2
95, 2
81, 2
14, 2
37, 2
76, 2
28, 2
51, 2
73, 2
72, 2
25, 2
46, 2
55, 2
37, 2
14, 2
81, 2
76, 2
28, 2
95, 2
73, 2
29, 2
28, 2
54, 2
14, 2
81, 2
72, 2
54, 2
51, 2
55, 2
25, 2
46, 2
73, 2
29, 2
47, 2
28, 2
95, 2
37, 2
76, 2
55, 2
97, 2
55, 2
37, 2
76, 2
49, 2
28, 2
95, 2
97, 2
37, 2
97, 2
49, 2
76, 2
28, 2
95, 2
86, 2
14, 2
76, 2
54, 2
81, 2
86, 2
29, 2
28, 2
52, 2
37, 2
14, 2
47, 2
51, 2
81, 2
73, 2
75, 2
36, 2
47, 2
29, 2
72, 2
54, 2
25, 2
14, 2
46, 2
76, 2
97, 2
25, 2
55, 2
49, 2
72, 2
51, 2
75, 2
37, 2
95, 2
46, 2
52, 2
97, 2
55, 2
49, 2
86, 2
37, 2
76, 2
95, 2
28, 2
81, 2
52, 2
54, 2
65, 2
28, 2
29, 2
73, 2
86, 2
14, 2
46, 2
36, 2
75, 2
47, 2
72, 2
95, 2
25, 2
76, 2
51, 2
55, 2
32, 2
97, 2
37, 2
49, 2
83, 2
29, 2
81, 2
73, 2
92, 2
14, 2
28, 2
86, 2
47, 2
65, 2
52, 2
54, 2
36, 2
16, 2
32, 2
75, 2
97, 2
65, 2
55, 2
51, 2
72, 2
46, 2
49, 2
73, 2
25, 2
54, 2
46, 2
95, 2
83, 2
51, 2
16, 2
55, 2
76, 2
37, 2
49, 2
97, 2
32, 2
72, 2
25, 2
52, 2
65, 2
83, 2
81, 2
54, 2
36, 2
29, 2
76, 2
28, 2
47, 2
92, 2
86, 2
15, 2
14, 2
79, 2
51, 2
16, 2
55, 2
25, 2
49, 2
75, 2
72, 2
73, 2
32, 2
46, 2
54, 2
65, 2
29, 2
76, 2
37, 2
16, 2
49, 2
95, 2
17, 2
56, 2
83, 2
97, 2
51, 2
25, 2
15, 2
55, 2
32, 2
72, 2
52, 2
37, 2
28, 2
95, 2
76, 2
55, 2
86, 2
91, 2
83, 2
97, 2
56, 2
15, 2
49, 2
17, 2
83, 2
76, 2
17, 2
28, 2
36, 2
63, 2
56, 2
95, 2
47, 2
14, 2
29, 2
15, 2
37, 2
92, 2
86, 2
81, 2
52, 2
14, 2
81, 2
54, 2
65, 2
46, 2
25, 2
47, 2
29, 2
16, 2
75, 2
73, 2
57, 2
32, 2
51, 2
72, 2
79, 2
36, 2
75, 2
49, 2
51, 2
16, 2
83, 2
72, 2
97, 2
37, 2
25, 2
76, 2
55, 2
95, 2
91, 2
46, 2
56, 2
32, 2
15, 2
28, 2
81, 2
63, 2
29, 2
36, 2
47, 2
37, 2
52, 2
17, 2
76, 2
56, 2
95, 2
86, 2
83, 2
92, 2
45, 2
14, 2
63, 2
52, 2
36, 2
79, 2
73, 2
47, 2
15, 2
75, 2
14, 2
92, 2
86, 2
81, 2
29, 2
65, 2
54, 2
28, 2
45, 2
57, 2
62, 2
16, 2
51, 2
72, 2
29, 2
81, 2
32, 2
65, 2
46, 2
22, 2
25, 2
75, 2
57, 2
79, 2
54, 2
47, 2
62, 2
36, 2
14, 2
92, 2
73, 2
51, 2
83, 2
72, 2
25, 2
55, 2
56, 2
63, 2
91, 2
95, 2
44, 2
76, 2
32, 2
97, 2
37, 2
67, 2
15, 2
49, 2
17, 2
36, 2
65, 2
29, 2
81, 2
79, 2
47, 2
14, 2
54, 2
52, 2
63, 2
28, 2
73, 2
86, 2
22, 2
57, 2
62, 2
46, 2
26, 2
45, 2
92, 2
75, 2
67, 2
62, 2
22, 2
46, 2
73, 2
26, 2
72, 2
55, 2
29, 2
69, 2
25, 2
75, 2
81, 2
32, 2
51, 2
65, 2
57, 2
54, 2
79, 2
16, 2
47, 2
72, 2
57, 2
67, 2
47, 2
25, 2
55, 2
16, 2
49, 2
73, 2
65, 2
75, 2
32, 2
69, 2
51, 2
62, 2
46, 2
98, 2
26, 2
79, 2
22, 2
54, 2
29, 2
46, 2
25, 2
72, 2
98, 2
49, 2
62, 2
55, 2
65, 2
82, 2
69, 2
91, 2
51, 2
97, 2
16, 2
67, 2
32, 2
26, 2
54, 2
75, 2
79, 2
57, 2
73, 2
16, 2
83, 2
37, 2
44, 2
95, 2
25, 2
97, 2
56, 2
76, 2
55, 2
32, 2
91, 2
72, 2
69, 2
17, 2
67, 2
98, 2
51, 2
12, 2
49, 2
82, 2
46, 2
67, 2
56, 2
49, 2
87, 2
23, 2
51, 2
44, 2
76, 2
91, 2
97, 2
82, 2
17, 2
69, 2
63, 2
83, 2
37, 2
15, 2
32, 2
55, 2
95, 2
12, 2
25, 2
56, 2
83, 2
87, 2
95, 2
14, 2
12, 2
17, 2
36, 2
86, 2
28, 2
81, 2
91, 2
52, 2
63, 2
45, 2
23, 2
92, 2
27, 2
15, 2
76, 2
37, 2
44, 2
97, 2
36, 2
16, 2
92, 2
62, 2
46, 2
54, 2
98, 2
25, 2
51, 2
79, 2
14, 2
47, 2
75, 2
65, 2
73, 2
22, 2
26, 2
45, 2
29, 2
52, 2
57, 2
81, 2
72, 2
23, 2
16, 2
83, 2
37, 2
44, 2
95, 2
25, 2
97, 2
56, 2
76, 2
55, 2
32, 2
91, 2
72, 2
69, 2
17, 2
67, 2
98, 2
51, 2
12, 2
49, 2
82, 2
46, 2
67, 1
62, 1
45, 1
12, 1
82, 1
98, 1
87, 1
69, 1
77, 1
85, 1
56, 1
79, 1
15, 1
16, 1
92, 1
83, 1
32, 1
65, 1
36, 1
52, 1
63, 1
91, 1
57, 1
17, 1
46, 1
26, 1
22, 1
23, 1
89, 1
54, 1
29, 1
47, 1
97, 1
51, 1
14, 1
37, 1
73, 1
81, 1
28, 1
95, 1
55, 1
72, 1
86, 1
49, 1
75, 1
25, 1
44, 1
76, 1
76, 1
75, 1
75, 1
25, 1
49, 1
25, 1
75, 1
72, 1
55, 1
49, 1
76, 1
25, 1
44, 1
49, 1
44, 1
86, 1
76, 1
95, 1
28, 1
44, 1
86, 1
72, 1
49, 1
75, 1
25, 1
95, 1
55, 1
55, 1
28, 1
44, 1
95, 1
49, 1
76, 1
86, 1
81, 1
75, 1
28, 1
73, 1
86, 1
72, 1
49, 1
73, 1
72, 1
25, 1
75, 1
55, 1
37, 1
14, 1
81, 1
76, 1
28, 1
95, 1
86, 1
44, 1
44, 1
97, 1
37, 1
95, 1
76, 1
86, 1
28, 1
81, 1
14, 1
47, 1
95, 1
81, 1
86, 1
14, 1
37, 1
76, 1
44, 1
28, 1
25, 1
51, 1
14, 1
47, 1
75, 1
73, 1
29, 1
81, 1
72, 1
25, 1
72, 1
49, 1
55, 1
51, 1
97, 1
54, 1
75, 1
73, 1
44, 1
28, 1
81, 1
29, 1
47, 1
37, 1
76, 1
95, 1
86, 1
14, 1
73, 1
47, 1
75, 1
14, 1
86, 1
81, 1
29, 1
54, 1
28, 1
29, 1
73, 1
22, 1
81, 1
86, 1
75, 1
28, 1
54, 1
14, 1
47, 1
95, 1
89, 1
26, 1
51, 1
55, 1
76, 1
44, 1
23, 1
37, 1
49, 1
97, 1
72, 1
25, 1
81, 1
22, 1
54, 1
29, 1
76, 1
28, 1
47, 1
86, 1
44, 1
14, 1
51, 1
55, 1
25, 1
89, 1
22, 1
49, 1
75, 1
72, 1
73, 1
46, 1
26, 1
54, 1
29, 1
76, 1
37, 1
49, 1
44, 1
95, 1
17, 1
23, 1
97, 1
51, 1
25, 1
55, 1
89, 1
72, 1
23, 1
86, 1
55, 1
37, 1
76, 1
17, 1
49, 1
28, 1
44, 1
95, 1
97, 1
91, 1
17, 1
91, 1
37, 1
97, 1
44, 1
63, 1
49, 1
76, 1
28, 1
95, 1
23, 1
86, 1
14, 1
17, 1
76, 1
44, 1
22, 1
54, 1
81, 1
86, 1
29, 1
63, 1
28, 1
52, 1
37, 1
14, 1
47, 1
51, 1
57, 1
81, 1
73, 1
89, 1
75, 1
36, 1
47, 1
22, 1
29, 1
26, 1
72, 1
54, 1
25, 1
14, 1
46, 1
76, 1
97, 1
25, 1
26, 1
23, 1
55, 1
49, 1
91, 1
72, 1
51, 1
89, 1
75, 1
37, 1
95, 1
46, 1
52, 1
97, 1
55, 1
49, 1
86, 1
91, 1
63, 1
37, 1
23, 1
76, 1
95, 1
17, 1
28, 1
44, 1
81, 1
22, 1
57, 1
52, 1
54, 1
26, 1
65, 1
28, 1
29, 1
73, 1
86, 1
14, 1
46, 1
36, 1
75, 1
47, 1
72, 1
95, 1
25, 1
89, 1
17, 1
76, 1
51, 1
55, 1
23, 1
44, 1
32, 1
97, 1
37, 1
49, 1
83, 1
91, 1
29, 1
22, 1
81, 1
73, 1
92, 1
14, 1
17, 1
28, 1
57, 1
86, 1
63, 1
47, 1
65, 1
52, 1
44, 1
54, 1
36, 1
16, 1
91, 1
32, 1
57, 1
75, 1
97, 1
26, 1
65, 1
55, 1
51, 1
72, 1
46, 1
49, 1
73, 1
23, 1
25, 1
89, 1
54, 1
49, 1
23, 1
51, 1
44, 1
76, 1
91, 1
97, 1
17, 1
89, 1
63, 1
83, 1
37, 1
15, 1
32, 1
